ad_id,created_date,market,language,ad_format,industry_vertical,advertiser_tier,campaign_objective,policy_category,risk_level,ad_text,landing_page_claim,golden_label,human_label,llm_label,llm_confidence_score,human_confidence_score,review_time_seconds,appeal_submitted,appeal_result,bpo_team,reviewer_tenure,error_type,is_llm_correct,is_human_correct,is_human_ai_agreement,is_advertiser_over_rejection,is_policy_risk_miss,is_low_confidence_case,is_high_risk_approval_miss,recommended_action,llm_severity_score,golden_severity_score,human_severity_score,is_policy_ambiguous,is_appeal_reversed
AD00954,2024-10-04,UK,English,Search Ad,Gaming,mid_market,Brand Awareness,Misleading Claim,medium,Double your savings with our exclusive method,Subject to regulatory approval,approved_limited,approved_limited,approved_limited,0.841,0.93,127,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00955,2024-02-24,MX,Spanish,Video Ad,Gaming,small_business,Brand Awareness,Health Claim,high,Daily nutrition designed for active adults,Free trial followed by monthly subscription,escalated,escalated,approved_limited,0.934,0.938,437,False,not_submitted,BPO_E,new,claim_substantiation_issue,False,True,False,False,True,False,False,add_to_model_feedback,1,2,2,False,False
AD00956,2024-01-20,MX,Spanish,Social Feed Ad,Gaming,mid_market,Retargeting,Safe Ad,medium,This course helps beginners learn data analytics,Pricing subject to change,approved,approved,rejected,0.495,0.932,31,False,not_submitted,BPO_A,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review,3,0,0,False,False
AD00957,2024-04-27,BR,Portuguese,Social Feed Ad,Food and Beverage,small_business,Lead Generation,Misleading Claim,medium,Earn passive income with our proven system,Not available in all regions,approved_limited,approved_limited,escalated,0.449,0.976,106,False,not_submitted,BPO_D,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,1,1,False,False
AD00958,2024-01-01,DE,German,Search Ad,Health and Wellness,enterprise,Retargeting,Adult or Suggestive Content,low,Exclusive member content for adult subscribers,Professional advice recommended,escalated,escalated,escalated,0.885,0.979,25,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00959,2024-05-15,DE,German,Social Feed Ad,Mobile Apps,mid_market,App Installs,Restricted Product,medium,Cannabis products for eligible medical use,Standard delivery times apply,rejected,rejected,escalated,0.424,0.966,140,False,not_submitted,BPO_B,experienced,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,2,3,3,False,False
AD00960,2024-02-18,DE,German,Display Ad,Mobile Apps,mid_market,Traffic,Safe Ad,low,Book your summer getaway with flexible cancellation,Promotional pricing for new customers only,approved,approved,approved,0.969,0.969,33,False,not_submitted,BPO_C,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00961,2024-08-28,DE,German,Search Ad,Health and Wellness,small_business,Brand Awareness,Scam or Suspicious Offer,high,Win a free gift card after completing a quick survey,Clinically inspired formula,rejected,rejected,approved,0.779,0.923,207,False,not_submitted,BPO_A,intermediate,high_risk_approval_miss,False,True,False,False,True,False,True,escalate_to_human_review,0,3,3,False,False
AD00962,2024-01-17,DE,German,Search Ad,Retail,mid_market,Retargeting,Restricted Product,medium,Licensed lottery tickets available in your region,Rates may vary by eligibility,escalated,escalated,approved,0.276,0.966,208,False,not_submitted,BPO_B,new,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,0,2,2,False,False
AD00963,2024-03-16,UK,English,Video Ad,Finance,mid_market,App Installs,Scam or Suspicious Offer,high,Claim your free device — only 3 slots remaining,Results depend on individual use,rejected,rejected,rejected,0.927,0.867,235,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00964,2024-04-05,UK,English,Display Ad,Beauty,small_business,App Installs,Financial Product Claim,high,Find the best savings rate for your goals,No purchase required,approved_limited,approved_limited,approved_limited,0.867,0.956,162,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00965,2024-08-05,MX,Spanish,Social Feed Ad,E-commerce,mid_market,Retargeting,Landing Page Issue,medium,Click to reveal your personalized offer,Terms and conditions apply,approved,approved,approved_limited,0.309,0.954,104,False,not_submitted,BPO_A,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review,1,0,0,False,False
AD00966,2024-05-27,DE,German,Display Ad,Food and Beverage,small_business,Retargeting,Brand Safety Risk,high,Budget alternatives for expensive branded goods,Limited availability,approved_limited,escalated,rejected,0.459,0.466,101,False,not_submitted,BPO_A,intermediate,over_rejection,False,False,False,True,False,True,False,route_to_human_review,3,1,2,True,False
AD00967,2024-10-07,MX,Spanish,Shopping Ad,Mobile Apps,small_business,Lead Generation,Brand Safety Risk,medium,Aggregated reviews for popular consumer brands,Customer testimonials shown,approved,rejected,approved_limited,0.899,0.544,43,True,upheld,BPO_D,intermediate,over_rejection,False,False,False,True,False,False,False,add_to_model_feedback,1,0,3,True,False
AD00968,2024-10-11,UK,English,Display Ad,Education,enterprise,Sales,Adult or Suggestive Content,medium,Exclusive member content for adult subscribers,Subscription renews monthly,rejected,rejected,rejected,0.988,0.971,84,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00969,2024-05-20,ES,Spanish,Social Feed Ad,Mobile Apps,small_business,Brand Awareness,Restricted Product,high,Cannabis products for eligible medical use,Check local rules before applying,escalated,escalated,escalated,0.939,0.931,267,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00970,2024-01-12,UK,English,Shopping Ad,Finance,small_business,Brand Awareness,Misleading Claim,medium,Stop wasting money — our solution pays for itself,Product information updated regularly,approved_limited,approved_limited,approved_limited,0.978,0.935,140,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00971,2024-12-16,UK,English,Video Ad,Mobile Apps,mid_market,Sales,Safe Ad,low,This course helps beginners learn data analytics,Individual results may vary,approved,approved,approved,0.889,0.976,33,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00972,2024-05-08,FR,French,Search Ad,Education,enterprise,Lead Generation,Political or Sensitive Content,medium,Join the conversation about fair representation,Offer valid while stocks last,approved,approved,approved,0.89,0.99,102,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00973,2024-07-15,FR,French,Social Feed Ad,Health and Wellness,small_business,Lead Generation,Adult or Suggestive Content,medium,Lingerie and intimate wear — discreet delivery,Age verification required,approved_limited,approved_limited,approved_limited,0.98,0.972,50,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00974,2024-12-05,MX,Spanish,App Install Ad,Health and Wellness,small_business,Traffic,Political or Sensitive Content,high,Register to participate in local elections,Subject to regulatory approval,escalated,escalated,approved,0.874,0.863,467,False,not_submitted,BPO_D,new,high_risk_approval_miss,False,True,False,False,True,False,True,escalate_to_human_review,0,2,2,False,False
AD00975,2024-08-25,US,English,App Install Ad,Finance,mid_market,Sales,Safe Ad,low,Book your summer getaway with flexible cancellation,Free trial followed by monthly subscription,approved_limited,approved_limited,approved_limited,0.964,0.903,21,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00976,2024-07-29,ES,Spanish,Display Ad,Beauty,mid_market,Conversions,Safe Ad,low,Get 20% off your first skincare order today,Pricing subject to change,approved_limited,approved_limited,approved_limited,0.844,0.932,31,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00977,2024-05-04,DE,German,Shopping Ad,Finance,mid_market,Brand Awareness,Misleading Claim,high,Earn passive income with our proven system,Not available in all regions,rejected,rejected,rejected,0.972,0.98,124,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00978,2024-10-28,US,English,Display Ad,Retail,mid_market,Brand Awareness,Brand Safety Risk,high,Side-by-side comparisons of competing products,Professional advice recommended,escalated,escalated,escalated,0.941,0.99,279,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00979,2024-03-12,DE,German,Search Ad,Finance,enterprise,Brand Awareness,Adult or Suggestive Content,high,Lifestyle subscription — for consenting adults only,Standard delivery times apply,approved_limited,approved_limited,approved_limited,0.911,0.932,87,True,upheld,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00980,2024-06-25,UK,English,Social Feed Ad,Education,strategic_account,Retargeting,Safe Ad,medium,Discover our latest seasonal offers,Promotional pricing for new customers only,approved,approved,approved,0.987,0.858,54,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00981,2024-05-07,MX,Spanish,Video Ad,Retail,small_business,Retargeting,Safe Ad,low,Try our award-winning customer service,Clinically inspired formula,approved,approved,approved,0.943,0.903,25,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00982,2024-02-05,BR,Portuguese,Social Feed Ad,Finance,small_business,Traffic,Landing Page Issue,medium,Exclusive offer — see our website for full details,Rates may vary by eligibility,rejected,rejected,rejected,0.984,0.884,136,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00983,2024-04-11,IT,Italian,Shopping Ad,Education,small_business,Sales,Safe Ad,low,New styles added daily — shop now,Results depend on individual use,approved,approved,approved,0.912,0.95,20,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00984,2024-03-09,DE,German,Display Ad,Gaming,small_business,Conversions,Scam or Suspicious Offer,high,Limited slots available — register before midnight,No purchase required,escalated,escalated,escalated,0.945,0.914,322,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00985,2024-02-03,UK,English,Social Feed Ad,Finance,small_business,Brand Awareness,Political or Sensitive Content,high,Community forum for policy discussions,Terms and conditions apply,escalated,escalated,escalated,0.934,0.898,362,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00986,2024-10-03,MX,Spanish,Display Ad,Retail,enterprise,Brand Awareness,Brand Safety Risk,high,Budget alternatives for expensive branded goods,Limited availability,approved_limited,approved_limited,approved_limited,0.943,0.903,180,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00987,2024-09-16,US,English,Search Ad,Education,small_business,Traffic,Landing Page Issue,medium,See full terms on our website before applying,Customer testimonials shown,approved_limited,approved_limited,approved_limited,0.95,0.93,143,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00988,2024-11-11,FR,French,Display Ad,Gaming,small_business,Conversions,Health Claim,medium,Wellness supplements crafted from natural extracts,Subscription renews monthly,approved,approved,approved,0.864,0.916,121,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00989,2024-01-12,US,English,App Install Ad,Mobile Apps,mid_market,Retargeting,Scam or Suspicious Offer,medium,Congratulations — you qualify for a special offer,Check local rules before applying,rejected,rejected,escalated,0.938,0.956,98,True,upheld,BPO_B,experienced,policy_risk_miss,False,True,False,False,True,False,False,add_to_model_feedback,2,3,3,False,False
AD00990,2024-06-19,BR,Portuguese,Video Ad,Retail,strategic_account,Traffic,Financial Product Claim,medium,Credit options tailored to your financial situation,Product information updated regularly,approved,approved,rejected,0.449,0.94,122,False,not_submitted,BPO_A,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,3,0,0,False,False
AD00991,2024-08-29,ES,Spanish,Search Ad,Food and Beverage,small_business,Conversions,Health Claim,low,Natural supplement to support your daily routine,Individual results may vary,approved_limited,rejected,approved_limited,0.896,0.481,41,False,not_submitted,BPO_E,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,3,False,False
AD00992,2024-06-28,BR,Portuguese,Social Feed Ad,Mobile Apps,enterprise,Traffic,Safe Ad,low,Summer sale now on — limited time only,Offer valid while stocks last,approved,approved,approved,0.914,0.971,38,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00993,2024-01-10,BR,Portuguese,App Install Ad,E-commerce,enterprise,Conversions,Financial Product Claim,medium,Apply for a business credit line with no hidden fees,Age verification required,approved_limited,approved_limited,approved,0.326,0.968,171,False,not_submitted,BPO_A,new,claim_substantiation_issue,False,True,False,False,True,True,False,route_to_human_review,0,1,1,False,False
AD00994,2024-06-13,UK,English,App Install Ad,E-commerce,mid_market,Brand Awareness,Safe Ad,low,Shop the new collection — fresh arrivals weekly,Subject to regulatory approval,approved,approved,approved,0.909,0.965,20,True,upheld,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00995,2024-02-15,MX,Spanish,Social Feed Ad,Finance,mid_market,Sales,Political or Sensitive Content,low,Community forum for policy discussions,Free trial followed by monthly subscription,rejected,rejected,rejected,0.939,0.839,130,False,not_submitted,BPO_B,new,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00996,2024-01-07,DE,German,Display Ad,Education,mid_market,Brand Awareness,Brand Safety Risk,medium,Budget alternatives for expensive branded goods,Pricing subject to change,approved_limited,approved_limited,approved_limited,0.869,0.965,148,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00997,2024-09-23,ES,Spanish,Social Feed Ad,Mobile Apps,small_business,Conversions,Safe Ad,high,"Join over 500,000 happy customers worldwide",Not available in all regions,approved,approved,approved,0.987,0.943,74,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00998,2024-02-04,FR,French,Shopping Ad,Education,mid_market,Retargeting,Safe Ad,low,New styles added daily — shop now,Professional advice recommended,approved,approved,approved,0.955,0.918,22,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00999,2024-04-19,MX,Spanish,Shopping Ad,Travel,small_business,Lead Generation,Safe Ad,medium,Download our app and track your order in real time,Standard delivery times apply,rejected,rejected,rejected,0.886,0.908,165,True,upheld,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01000,2024-12-28,US,English,Shopping Ad,Food and Beverage,enterprise,Lead Generation,Health Claim,low,Formulated to support healthy joints and mobility,Promotional pricing for new customers only,approved_limited,approved,approved_limited,0.921,0.469,58,True,upheld,BPO_D,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,0,False,False
AD01001,2024-12-12,FR,French,Video Ad,Health and Wellness,enterprise,App Installs,Political or Sensitive Content,high,Support our movement for local community change,Clinically inspired formula,approved_limited,approved,approved_limited,0.947,0.512,198,True,upheld,BPO_D,new,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,0,False,False
AD01002,2024-01-16,DE,German,Search Ad,E-commerce,small_business,Traffic,Landing Page Issue,medium,Exclusive offer — see our website for full details,Rates may vary by eligibility,approved,approved,escalated,0.443,0.938,104,False,not_submitted,BPO_E,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD01003,2024-05-26,UK,English,Social Feed Ad,Food and Beverage,mid_market,Lead Generation,Safe Ad,low,Premium beauty bundle with customer reviews,Results depend on individual use,escalated,escalated,escalated,0.908,0.96,25,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD01004,2024-05-07,UK,English,Search Ad,Beauty,small_business,Sales,Safe Ad,low,Try our gaming app with exclusive starter rewards,No purchase required,approved_limited,approved,approved_limited,0.939,0.631,25,False,not_submitted,BPO_E,experienced,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,0,False,False
AD01005,2024-08-14,ES,Spanish,Search Ad,Retail,small_business,Brand Awareness,Landing Page Issue,low,Click to reveal your personalized offer,Terms and conditions apply,approved,escalated,approved_limited,0.219,0.513,94,False,not_submitted,BPO_B,new,over_rejection,False,False,False,True,False,True,False,route_to_human_review,1,0,2,True,False
AD01006,2024-09-09,US,English,Video Ad,Health and Wellness,mid_market,Retargeting,Health Claim,medium,Gentle formula to support digestive comfort,Limited availability,escalated,escalated,escalated,0.95,0.967,177,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD01007,2024-01-28,MX,Spanish,Social Feed Ad,Food and Beverage,small_business,Sales,Restricted Product,high,Sports betting — new member welcome offer,Customer testimonials shown,approved_limited,approved_limited,approved_limited,0.782,0.881,368,True,reversed,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,True
AD01008,2024-06-04,US,English,Shopping Ad,Education,enterprise,Lead Generation,Safe Ad,low,Free delivery on orders over 30 EUR,Subscription renews monthly,approved,approved,approved,0.971,0.872,26,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01009,2024-04-12,IT,Italian,Shopping Ad,Mobile Apps,small_business,Sales,Scam or Suspicious Offer,high,Congratulations — you qualify for a special offer,Check local rules before applying,rejected,rejected,escalated,0.456,0.954,95,False,not_submitted,BPO_A,experienced,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,2,3,3,False,False
AD01010,2024-12-24,DE,German,Shopping Ad,Food and Beverage,enterprise,Retargeting,Landing Page Issue,medium,Details not shown here — view on our landing page,Product information updated regularly,approved_limited,escalated,approved_limited,0.982,0.386,152,False,not_submitted,BPO_C,new,none,True,False,False,False,False,False,False,flag_for_calibration,1,1,2,False,False
AD01011,2024-04-16,IT,Italian,Shopping Ad,Travel,small_business,Brand Awareness,Scam or Suspicious Offer,high,Win a free gift card after completing a quick survey,Individual results may vary,rejected,rejected,rejected,0.934,0.958,262,True,upheld,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01012,2024-01-12,ES,Spanish,Social Feed Ad,Food and Beverage,small_business,Sales,Safe Ad,low,"Join over 500,000 happy customers worldwide",Offer valid while stocks last,approved,approved,approved,0.903,0.823,46,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01013,2024-08-15,DE,German,Search Ad,E-commerce,enterprise,App Installs,Safe Ad,medium,New styles added daily — shop now,Age verification required,approved_limited,approved_limited,approved_limited,0.976,0.961,68,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01014,2024-11-15,MX,Spanish,Social Feed Ad,Travel,mid_market,Retargeting,Health Claim,medium,Plant-based ingredients for a balanced lifestyle,Subject to regulatory approval,approved_limited,approved_limited,approved_limited,0.938,0.911,106,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01015,2024-10-26,US,English,Search Ad,Retail,small_business,Conversions,Safe Ad,medium,Explore thousands of products at unbeatable prices,Free trial followed by monthly subscription,approved,approved,approved,0.954,0.938,61,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01016,2024-02-19,UK,English,Search Ad,Beauty,enterprise,Lead Generation,Restricted Product,medium,Regulated gambling platform — play responsibly,Pricing subject to change,rejected,rejected,rejected,0.877,0.959,100,True,upheld,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01017,2024-09-28,IT,Italian,Search Ad,E-commerce,small_business,Conversions,Adult or Suggestive Content,high,Mature content platform — verified adult access,Not available in all regions,approved_limited,approved_limited,rejected,0.405,0.969,128,False,not_submitted,BPO_B,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,3,1,1,False,False
AD01018,2024-03-15,BR,Portuguese,Shopping Ad,Beauty,small_business,Traffic,Safe Ad,low,Premium beauty bundle with customer reviews,Professional advice recommended,approved,approved,approved,0.952,0.942,20,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01019,2024-02-22,FR,French,Social Feed Ad,Travel,mid_market,Brand Awareness,Restricted Product,high,Cannabis products for eligible medical use,Standard delivery times apply,approved_limited,approved_limited,approved_limited,0.895,0.986,178,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01020,2024-07-11,DE,German,App Install Ad,Food and Beverage,mid_market,Traffic,Restricted Product,high,Adult entertainment content — 18 years and over,Promotional pricing for new customers only,approved_limited,approved_limited,approved_limited,0.918,0.928,306,True,upheld,BPO_C,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01021,2024-10-20,MX,Spanish,App Install Ad,Beauty,mid_market,Conversions,Brand Safety Risk,high,"Unbranded alternatives — same quality, lower price",Clinically inspired formula,approved_limited,rejected,approved,0.358,0.495,85,False,not_submitted,BPO_E,experienced,high_risk_approval_miss,False,False,False,False,True,True,True,escalate_to_human_review,0,1,3,True,False
AD01022,2024-11-14,IT,Italian,Shopping Ad,Travel,enterprise,Sales,Safe Ad,low,Summer sale now on — limited time only,Rates may vary by eligibility,approved,approved,approved,0.952,0.926,33,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01023,2024-08-13,MX,Spanish,Search Ad,Gaming,mid_market,Conversions,Financial Product Claim,high,Apply for a business credit line with no hidden fees,Results depend on individual use,approved_limited,approved_limited,approved_limited,0.866,0.962,193,False,not_submitted,BPO_C,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01024,2024-05-31,DE,German,Shopping Ad,Food and Beverage,small_business,Retargeting,Landing Page Issue,low,Special rate unlocked — visit landing page now,No purchase required,escalated,rejected,escalated,0.967,0.412,68,True,reversed,BPO_C,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,2,2,3,False,True
AD01025,2024-08-01,IT,Italian,Shopping Ad,Finance,small_business,Traffic,Scam or Suspicious Offer,high,Enter your details to unlock your mystery reward,Terms and conditions apply,rejected,rejected,rejected,0.886,0.951,310,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01026,2024-04-17,US,English,Shopping Ad,Health and Wellness,small_business,App Installs,Political or Sensitive Content,high,Support awareness for human rights education,Limited availability,approved_limited,approved_limited,approved_limited,0.916,0.933,180,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01027,2024-02-19,MX,Spanish,Search Ad,Beauty,enterprise,Traffic,Landing Page Issue,medium,See full terms on our website before applying,Customer testimonials shown,approved_limited,approved_limited,approved_limited,0.973,0.847,146,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01028,2024-05-26,US,English,Search Ad,Gaming,small_business,Traffic,Scam or Suspicious Offer,high,Free product trial — no card required — act fast,Subscription renews monthly,rejected,rejected,rejected,0.908,0.99,219,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01029,2024-03-02,IT,Italian,App Install Ad,Gaming,mid_market,Sales,Safe Ad,medium,Download our app and track your order in real time,Check local rules before applying,approved_limited,escalated,rejected,0.891,0.443,52,False,not_submitted,BPO_A,intermediate,over_rejection,False,False,False,True,False,False,False,add_to_model_feedback,3,1,2,True,False
AD01030,2024-02-04,US,English,Search Ad,Retail,mid_market,Traffic,Landing Page Issue,high,Details not shown here — view on our landing page,Product information updated regularly,approved,approved,approved,0.83,0.895,210,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01031,2024-09-29,ES,Spanish,Display Ad,Gaming,enterprise,Retargeting,Safe Ad,low,This course helps beginners learn data analytics,Individual results may vary,approved,approved,approved,0.927,0.79,30,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01032,2024-11-01,IT,Italian,Video Ad,Health and Wellness,small_business,Brand Awareness,Safe Ad,low,New meal delivery plan for busy professionals,Offer valid while stocks last,approved,approved,escalated,0.51,0.924,40,False,not_submitted,BPO_B,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review,2,0,0,False,False
AD01033,2024-09-30,DE,German,Search Ad,Education,small_business,App Installs,Misleading Claim,medium,Scientifically proven to work in just one week,Age verification required,approved_limited,approved_limited,approved_limited,0.917,0.959,122,False,not_submitted,BPO_E,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01034,2024-11-30,MX,Spanish,Search Ad,Beauty,strategic_account,Retargeting,Safe Ad,medium,Try our gaming app with exclusive starter rewards,Subject to regulatory approval,approved,approved,rejected,0.538,0.924,60,False,not_submitted,BPO_E,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review,3,0,0,False,False
AD01035,2024-06-25,US,English,App Install Ad,E-commerce,mid_market,Lead Generation,Brand Safety Risk,medium,Generic alternatives at a fraction of the cost,Free trial followed by monthly subscription,approved,approved,approved,0.943,0.976,27,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD01036,2024-09-03,ES,Spanish,Shopping Ad,Education,mid_market,Lead Generation,Misleading Claim,high,No other solution comes close to our results,Pricing subject to change,rejected,rejected,escalated,0.537,0.781,246,False,not_submitted,BPO_E,intermediate,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,2,3,3,False,False
AD01037,2024-03-15,US,English,App Install Ad,Finance,enterprise,Lead Generation,Brand Safety Risk,low,Aggregated reviews for popular consumer brands,Not available in all regions,rejected,escalated,rejected,0.938,0.402,61,False,not_submitted,BPO_D,new,none,True,False,False,False,False,False,False,flag_for_calibration,3,3,2,False,False
AD01038,2024-06-11,US,English,Display Ad,Travel,strategic_account,Brand Awareness,Landing Page Issue,low,Pricing varies — visit site for accurate information,Professional advice recommended,approved_limited,approved_limited,approved,0.912,0.904,69,True,reversed,BPO_B,experienced,landing_page_mismatch,False,True,False,False,True,False,False,add_to_model_feedback,0,1,1,False,True
AD01039,2024-02-06,DE,German,Display Ad,Gaming,small_business,Sales,Health Claim,medium,Boost your morning routine with our daily blend,Standard delivery times apply,rejected,rejected,rejected,0.946,0.955,121,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01040,2024-08-12,UK,English,Video Ad,Retail,strategic_account,App Installs,Adult or Suggestive Content,high,Premium intimate product collection — discreet packaging,Promotional pricing for new customers only,approved_limited,approved_limited,approved_limited,0.946,0.975,246,False,not_submitted,BPO_A,new,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD01041,2024-06-08,FR,French,Video Ad,Finance,small_business,Conversions,Scam or Suspicious Offer,medium,Win a free gift card after completing a quick survey,Clinically inspired formula,rejected,rejected,rejected,0.943,0.975,198,False,not_submitted,BPO_C,new,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD01042,2024-07-20,IT,Italian,Search Ad,Retail,strategic_account,Retargeting,Political or Sensitive Content,high,Join the conversation about fair representation,Rates may vary by eligibility,approved_limited,approved_limited,approved,0.43,0.972,270,True,reversed,BPO_A,new,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review,0,1,1,False,True
AD01043,2024-11-07,IT,Italian,Shopping Ad,Education,small_business,Brand Awareness,Safe Ad,low,New styles added daily — shop now,Results depend on individual use,approved,approved,approved,0.957,0.944,20,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
